body_strikes_attempts,body_strikes_landed,clinch_strikes_attempts,clinch_strikes_landed,date,distance_strikes_attempts,distance_strikes_landed,division,event_url,fight_url,fighter,fighter_url,ground_strikes_attempts,ground_strikes_landed,head_strikes_attempts,head_strikes_landed,knockdowns,leg_strikes_attempts,leg_strikes_landed,method,opponent,opponent_url,pass,result,reversals,round,sig_strikes_attempts,sig_strikes_landed,sub_attempts,takedowns_attempts,takedowns_landed,time,total_strikes_attempts,total_strikes_landed
20,13,16,12,"November 16, 2019",154,59,Light Heavyweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/c04274c8caa505dd,Jan Blachowicz,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,0,0,121,38,0,29,20,S-DEC,Jacare Souza,http://ufcstats.com/fighter-details/7a703c565ccaa18f,0,W,0,5,170,71,0,0,0,5:00,205,105
10,3,3,2,"November 16, 2019",45,18,Light Heavyweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/c04274c8caa505dd,Jacare Souza,http://ufcstats.com/fighter-details/7a703c565ccaa18f,0,0,28,8,0,10,9,S-DEC,Jan Blachowicz,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,0,L,0,5,48,20,0,5,0,5:00,88,56
2,1,1,1,"November 16, 2019",48,16,Light Heavyweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/c63edd25d2201a46,Mauricio Rua,http://ufcstats.com/fighter-details/140745cbbcb023ac,17,8,57,19,0,7,5,S-DEC,Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83,1,D,0,3,66,25,0,3,1,5:00,108,51
20,14,13,9,"November 16, 2019",82,39,Light Heavyweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/c63edd25d2201a46,Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83,4,3,71,30,0,8,7,S-DEC,Mauricio Rua,http://ufcstats.com/fighter-details/140745cbbcb023ac,1,D,0,3,99,51,1,4,1,5:00,160,106
3,1,0,0,"November 16, 2019",14,8,Lightweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/7afe2a15ae7359e9,Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,2,2,9,5,1,4,4,KO/TKO,Jared Gordon,http://ufcstats.com/fighter-details/7026eca45f65377b,0,W,0,1,16,10,0,1,0,1:26,16,10
2,0,0,0,"November 16, 2019",18,7,Lightweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/7afe2a15ae7359e9,Jared Gordon,http://ufcstats.com/fighter-details/7026eca45f65377b,0,0,16,7,0,0,0,KO/TKO,Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,0,L,0,1,18,7,0,0,0,1:26,18,7
10,8,1,1,"November 16, 2019",40,20,Middleweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/57b111b54a2d2323,Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,1,1,30,12,0,2,2,U-DEC,Antonio Arroyo,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,2,W,0,3,42,22,2,7,3,5:00,128,85
7,5,0,0,"November 16, 2019",36,21,Middleweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/57b111b54a2d2323,Antonio Arroyo,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,11,8,35,20,0,5,4,U-DEC,Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,0,L,1,3,47,29,0,1,1,5:00,67,47
12,8,21,19,"November 16, 2019",91,23,Middleweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/9e1ecdb9a8856a8c,Wellington Turman,http://ufcstats.com/fighter-details/4dcfb28c011c11b2,8,6,103,35,0,5,5,U-DEC,Markus Perez,http://ufcstats.com/fighter-details/2ac4628c08ec5125,1,W,0,3,120,48,0,9,2,5:00,132,59
21,13,26,21,"November 16, 2019",67,26,Middleweight,http://ufcstats.com/event-details/81ca2c245b19b3c5,http://ufcstats.com/fight-details/9e1ecdb9a8856a8c,Markus Perez,http://ufcstats.com/fighter-details/2ac4628c08ec5125,3,2,72,33,0,3,3,U-DEC,Wellington Turman,http://ufcstats.com/fighter-details/4dcfb28c011c11b2,0,L,0,3,96,49,0,1,0,5:00,103,56
