,fighter,YOB,height_cms,reach_cms,stance_code,weight_kg
0,Johnny Bedford,1983.0,177.8,180.34,1.0,61.29
2,Joe Riggs,1982.0,182.88,177.8,3.0,83.99000000000002
4,Matt Serra,1974.0,167.64,172.72,1.0,77.18
5,Matt Bessette,1984.0,177.8,177.8,1.0,65.83
6,Santiago Ponzinibbio,1986.0,182.88,185.42,1.0,77.18
8,Jason High,1981.0,172.72,180.34,3.0,70.37
9,Robbie Lawler,1982.0,180.34,187.96,3.0,77.18
11,Philip De Fries,1986.0,195.58,208.28,1.0,113.5
12,Veronica Macedo,1995.0,162.56,162.56,3.0,56.75
17,Renato Moicano,1989.0,180.34,182.88,1.0,65.83
19,Roger Narvaez,1983.0,190.5,200.66,3.0,83.99000000000002
20,Abdul-Kerim Edilov,1991.0,187.96,198.12,1.0,93.07
26,Sirwan Kakai,1989.0,165.1,167.64,1.0,61.29
28,Muslim Salikhov,1984.0,180.34,177.8,1.0,77.18
32,James Head,1984.0,185.42,185.42,1.0,77.18
33,Bryan Caraway,1984.0,172.72,172.72,1.0,61.29
34,Elizeu Zaleski dos Santos,1986.0,180.34,185.42,1.0,77.18
37,Danaa Batgerel,1989.0,170.18,177.8,1.0,61.29
38,Gregor Gillespie,1986.0,170.18,180.34,1.0,70.37
45,John Howard,1983.0,170.18,180.34,1.0,77.18
46,Josh Koscheck,1977.0,177.8,185.42,1.0,77.18
51,Roger Huerta,1983.0,175.26,177.8,1.0,70.37
53,DeAnna Bennett,1984.0,162.56,172.72,1.0,56.75
55,Marcus Brimage,1985.0,162.56,180.34,3.0,61.29
57,Cung Le,1972.0,175.26,175.26,3.0,83.99000000000002
59,Zach Makovsky,1983.0,162.56,162.56,3.0,56.75
62,Dustin Pague,1987.0,175.26,187.96,1.0,61.29
64,Josh Thomson,1978.0,177.8,180.34,1.0,70.37
65,Jim Miller,1983.0,172.72,180.34,3.0,70.37
67,Jorge Rivera,1972.0,185.42,185.42,1.0,83.99000000000002
69,Garreth McLellan,1982.0,185.42,182.88,3.0,83.99000000000002
71,Stefan Struve,1988.0,210.82,213.36,1.0,120.31
75,Chuck Liddell,1969.0,187.96,193.04,1.0,93.07
76,Sean Woodson,1992.0,187.96,198.12,1.0,65.83
79,Brad Pickett,1978.0,167.64,172.72,1.0,61.29
82,Luke Barnatt,1988.0,198.12,195.58,1.0,83.99000000000002
83,Marlon Moraes,1988.0,167.64,170.18,1.0,61.29
84,Rory Singer,1976.0,187.96,195.58,1.0,83.99000000000002
85,Molly McCann,1990.0,162.56,157.48,1.0,56.75
87,Elvis Mutapcic,1986.0,182.88,182.88,1.0,83.99000000000002
88,Damien Brown,1984.0,177.8,172.72,1.0,70.37
89,Uriah Hall,1984.0,182.88,200.66,1.0,83.99000000000002
95,Joachim Christensen,1978.0,190.5,193.04,1.0,93.07
